marca,desc,0,imagen-src
"CRISTAL","Pack 12 x 350 cc","$ 5.979","http://s7d2.scene7.com/is/image/Tottus/02300282?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 355 cc","$ 3.999","http://s7d2.scene7.com/is/image/Tottus/20199796?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 18 x 350 mls","$ 8.069","http://s7d2.scene7.com/is/image/Tottus/20194545?$S7Product$&wid=129&hei=129"
"ESCUDO","Pack 6 x 350 cc","$ 3.149","http://s7d2.scene7.com/is/image/Tottus/01018054?$S7Product$&wid=129&hei=129"
"BECKER","Pack 6 x 350 cc","$ 2.789","http://s7d2.scene7.com/is/image/Tottus/02300114?$S7Product$&wid=129&hei=129"
"ROYAL GUARD","Pack 6 x 350 cc","$ 4.589","http://s7d2.scene7.com/is/image/Tottus/01018649?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 330 cc","$ 3.799","http://s7d2.scene7.com/is/image/Tottus/01018613?$S7Product$&wid=129&hei=129"
"BECKER","Pack 18 x 350 cc","$ 7.479","http://s7d2.scene7.com/is/image/Tottus/20164444?$S7Product$&wid=129&hei=129"
"ESCUDO","Pack 6 x 355 mls","$ 3.689","http://s7d2.scene7.com/is/image/Tottus/01018632?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 350 cc","$ 3.199","http://s7d2.scene7.com/is/image/Tottus/01018609?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 350 mls","$ 3.989","http://s7d2.scene7.com/is/image/Tottus/20334777?$S7Product$&wid=129&hei=129"
"BECKER","Pack 12 x 350 cc","$ 4.889","http://s7d2.scene7.com/is/image/Tottus/20070572?$S7Product$&wid=129&hei=129"
"BECKER","Pack 24 x 350 cc","$ 9.699","http://s7d2.scene7.com/is/image/Tottus/20240954?$S7Product$&wid=129&hei=129"
"ESCUDO","Pack 12 x 350 cc","$ 5.379","http://s7d2.scene7.com/is/image/Tottus/20048787?$S7Product$&wid=129&hei=129"
